&c.	etc.
debil	devil
debitor	debtor
debuty	deputy
deceiveth	deceives
declar	declare
declin'd	declined
DEDLOCK	Dedlock
dee	thee
'deed	indeed
deep-mouthed	deepmouthed
Deep-Valley	Deep-valley
deevil	devil
deevil's	devil's
defeat'st	defeatest
deformed'st	deformedest
deil	devil
deils	devils
deloighted	delighted
demeanor	demeanour
demi-Atlas	demi-atlas
demselves	themselves
demuring	demurring
denayed	denied
deniedst	deniedest
dention	attention
'dention	attention
denyin'	denying
departed'st	departedest
depart'st	departest
dependance	dependence
DERBYSHIRE	Derbyshire
dere	there
dere's	there's
der's	there's
desartless	desertless
desarvin'	deserving
descant'st	descantest
deservedst	deservedest
deserv'st	deservest
despatch	dispatch
despatched	dispatched
despiseth	despises
despit	desperately
desp't	desperately
destin'd	destined
dest'ny	destiny
det	debt
developes	develops
devil-Dam	devil-dam
devilled	deviled
deviseth	devises
devlish	devilish
dev'lish	devilish
devoureth	devours
devourigly	devouringly
dew-lapped	dewlapped
dewoted	devoted
dey'll	they'll
DIANA	Diana
Dian's	Diana's
dich	do
DICK	Dick
dictatin'	dictating
didna	didn't
did'nt	didn't
did'st	didst
diedst	diedest
differency	difference
difficultie	difficulty
digged	dug
diggin'	digging
digt	digged
DINAH	Dinah
ding-dong	dingdong
dinin'-room	dining-room
dinna	don't
din't	didn't
Diomed's	Diomedes'
dippedst	dippedest
dis	this
disburthened	disburdened
discern'st	discernest
disclaim'st	dischargest
discolored	discoloured
discourseth	discourses
disdaineth	disdains
disdain'st	disdainest
disembowelled	disemboweled
disgustiug	disgusting
dishevelled	disheveled
dishonor	dishonour
dishonored	dishonoured
dishonoring	dishonouring
disjoint	disjoined
dismall'st	dismallest
dismissd	dismissed
dispises	despises
disponge	dispunge
disputin'	disputing
dis-stained	disstained
distill	distil
distills	distils
distrubed	disturbed
divers	diverse
divers-coloured	diverse-coloured
divideth	divides
divil	devil
divil's	devil's
divvle's	devil's
dixonary	dictionary
'dizening	bedizening
doan't	don't
doat	dote
doated	doted
doating	doting
doatingly	dotingly
doats	dotes
DOBBIN	Dobbin
docketted	docketed
doctorin'	doctoring
do'e	do
doen't	don't
doesna	doesn't
doest	dost
doff'd	doffed
dog-hole	doghole
dog-like	doglike
doil'd	doiled
doin'	doing
doins	doings
do'n	don't
donkies	donkeys
donn'd	donned
donno	don't
don'no	don't
donno'	don't
donnot	don't
dont	don't
dooant	don't
doom'd	doomed
dooms-day	doomsday
doon	done
doos	does
doo's	does
doosn't	doesn't
d'or	d'Or
doteth	dotes
doth	does
doubt'st	doubtest
dough-Boy	dough-boy
Dough-Boy's	Dough-boy's
doun	down
doune	down
dout	doubt
dove-cote	dovecote
dove-house	dovehouse
dowle	dowl
DOWLING	Dowling
DOWLINGS	Dowlings
down-trod	downtrod
draggin'	dragging
draging	dragging
draweth	draws
drawin'	drawing
draw'st	drawest
dreadeth	dreads
dreadin'	dreading
dream'st	dreamest
dreamt	dreamed
d'rectly	directly
drefful	dreadful
dre'ful	dreadful
